Id,Name,Handicap
29er,29er,900
Blaze,Blaze,1030
Enterprise,Enterprise,1137
Hartley 12,Hartley 12,1250
ILCA 4,ILCA 4,1216
ILCA 6,ILCA 6,1154
ILCA 7,ILCA 7,1104
Phantom,Phantom,998
ROOSTER 8.1,ROOSTER 8.1,1021
Aero 5,Aero 5,1139
Aero 6,Aero 6,1099
Aero 7,Aero 7,1063
Aero 9,Aero 9,1005
RS Feva,RS Feva,1280
RS Feva XL,RS Feva XL,1244
RS VAREO,RS VAREO,1095
RS Vareo,RS Vareo,1095
RS200,RS200,1050
RS300,RS300,965
RS400,RS400,942
RS600,RS600,921
Rooster 8.1,Rooster 8.1,1021
Solo,Solo,1139
Streaker,Streaker,1124
Topper,Topper,1363
Topper 4.2,Topper 4.2,1440